done|do
reconverted|reconvert
recovered|recover
recruited|recruit
reddened|redden
redoubled|redouble
referred|refer
reformed|reform
refuelled|refuel
regenerated|regenerate
registered|register
regrouped|regroup
rehearsed|rehearse
reinvested|reinvest
rekindled|rekindle
related|relate
relaxed|relax
relocated|relocate
remarried|remarry
remitted|remit
remounted|remount
renegotiated|renegotiate
reopened|reopen
reorganized|reorganize
repaired|repair
reproduced|reproduce
resettled|resettle
restarted|restart
resumed|resume
resuscitated|resuscitate
retailed|retail
retired|retire
retooled|retool
returned|return
reunited|reunite
reversed|reverse
revived|revive
rhymed|rhyme
ricocheted|ricochet
ringed|ring
rung|ring
roamed|roam
roared|roar
roasted|roast
rotated|rotate
roused|rouse
rowed|row
ruffled|ruffle
ruptured|rupture
rustled|rustle
sacrificed|sacrifice
saluted|salute
sawed|saw
scanned|scan
scattered|scatter
scoffed|scoff
scolded|scold
scored|score
scrambled|scramble
scrawled|scrawl
scribbled|scribble
scrubbed|scrub
sculptured|sculpture
searched|search
seized|seize
separated|separate
severed|sever
shaded|shade
shattered|shatter
shelled|shell
shoplifted|shoplift
short-circuited|short-circuit
shortened|shorten
shoved|shove
showered|shower
shrieked|shriek
shrunk|shrink
shrunken|shrink
shuffled|shuffle
sifted|sift
sung|sing
singed|singe
sunk|sink
sunken|sink
sipped|sip
slammed|slam
slanted|slant
sloshed|slosh
smacked|smack
smeared|smear
smoked|smoke
smudged|smudge
snarled|snarl
snipped|snip
snorted|snort
snuggled|snuggle
socialized|socialize
solidified|solidify
sowed|sow
spattered|spatter
spawned|spawn
splashed|splash
splayed|splay
splintered|splinter
spoiled|spoil
sponged|sponge
sported|sport
spouted|spout
spring-cleaned|spring-clean
spied|spy
squashed|squash
stabilized|stabilize
stained|stain
stalked|stalk
stalled|stall
stammered|stammer
stampeded|stampede
stared|stare
steadied|steady
steeped|steep
steepened|steepen
steered|steer
stewed|stew
stifled|stifle
stung|sting
stinted|stint
stonewalled|stonewall
strained|strain
stratified|stratify
streaked|streak
strengthened|strengthen
strummed|strum
stumped|stump
subcontracted|subcontract
subdivided|subdivide
subleased|sublease
sublet|sublet
submerged|submerge
submitted|submit
substituted|substitute
succeeded|succeed
sued|sue
suffered|suffer
suffocated|suffocate
supervised|supervise
supplicated|supplicate
surrendered|surrender
survived|survive
swallowed|swallow
swapped|swap
swayed|sway
sweated|sweat
swished|swish
swivelled|swivel
synchronized|synchronize
tackled|tackle
tagged|tag
tanned|tan
tapped|tap
tarnished|tarnish
telegraphed|telegraph
telephoned|telephone
tended|tend
terminated|terminate
thawed|thaw
thrashed|thrash
thrilled|thrill
thronged|throng
throttled|throttle
thumped|thump
thundered|thunder
tickled|tickle
tilted|tilt
toasted|toast
tooted|toot
traced|trace
traded|trade
transferred|transfer
transgressed|transgress
translated|translate
transplanted|transplant
treated|treat
trebled|treble
trotted|trot
trumped|trump
trumpeted|trumpet
tugged|tug
twirled|twirl
umpired|umpire
unbended|unbend
uncurled|uncurl
underbidden|underbid
underspent|underspend
undressed|undress
unfastened|unfasten
unfolded|unfold
unhitched|unhitch
unified|unify
united|unite
unloaded|unload
unlocked|unlock
unpacked|unpack
unraveled|unravel
unrolled|unroll
unscrewed|unscrew
untied|untie
unwound|unwind
unwrapped|unwrap
urbanized|urbanize
vaporized|vaporize
varied|vary
ventured|venture
vested|vest
vibrated|vibrate
visited|visit
volleyed|volley
vomited|vomit
waded|wade
wagged|wag
wailed|wail
wakened|waken
warped|warp
watered|water
waved|wave
waxed|wax
weakened|weaken
wedded|wed
welded|weld
wheeled|wheel
whined|whine
whirled|whirl
whistled|whistle
whitened|whiten
whittled|whittle
widened|widen
wiggled|wiggle
wired|wire
withdrawn|withdraw
worsened|worsen
worshipped|worship
wrestled|wrestle
wrinkled|wrinkle
yelled|yell
yielded|yield
yodelled|yodel
abandoned|abandon
abased|abase
abbreviated|abbreviate
abducted|abduct
abetted|abet
abhorred|abhor
abolished|abolish
abridged|abridge
abrogated|abrogate
absorbed|absorb
abstracted|abstract
abused|abuse
abutted|abut
accented|accent
accentuated|accentuate
accessed|access
acclaimed|acclaim
accommodated|accommodate
accompanied|accompany
accomplished|accomplish
accosted|accost
accredited|accredit
accustomed|accustom
achieved|achieve
acquainted|acquaint
acquired|acquire
activated|activate
addicted|addict
addled|addle
addressed|address
adjudged|adjudge
administered|administer
admired|admire
admonished|admonish
adopted|adopt
adored|adore
adorned|adorn
adulterated|adulterate
adumbrated|adumbrate
aerated|aerate
affected|affect
affixed|affix
afflicted|afflict
aggrandized|aggrandize
aggravated|aggravate
aired|air
alienated|alienate
allayed|allay
alleviated|alleviate
allocated|allocate
allotted|allot
amassed|amass
ambushed|ambush
ameliorated|ameliorate
amended|amend
amortized|amortize
amplified|amplify
amputated|amputate
anaesthetized|anaesthetize
analysed|analyse
analyzed|analyze
anathematized|anathematize
anesthetized|anesthetize
angered|anger
anglicized|anglicize
animated|animate
annexed|annex
annihilated|annihilate
annointed|annoint
annotated|annotate
annulled|annul
anointed|anoint
antagonized|antagonize
antedated|antedate
aped|ape
appalled|appal
appeased|appease
appended|append
apportioned|apportion
appraised|appraise
apprehended|apprehend
apprenticed|apprentice
apprised|apprise
appropriated|appropriate
armed|arm
aroused|arouse
arraigned|arraign
arrayed|array
arrested|arrest
arrogated|arrogate
ascribed|ascribe
asphalted|asphalt
asphyxiated|asphyxiate
aspirated|aspirate
assailed|assail
assassinated|assassinate
assaulted|assault
assayed|assay
assessed|assess
assuaged|assuage
atomized|atomize
attached|attach
attacked|attack
attained|attain
attenuated|attenuate
attired|attire
attracted|attract
attributed|attribute
attuned|attune
audited|audit
augmented|augment
authenticated|authenticate
autographed|autograph
automated|automate
avenged|avenge
averred|aver
averted|avert
awaited|await
awed|awe
axed|ax
axed|axe
backdated|backdate
badgered|badger
baffled|baffle
baited|bait
baked|bake
balanced|balance
baled|bale
bamboozled|bamboozle
banned|ban
bandaged|bandage
banished|banish
bankrupted|bankrupt
baptized|baptize
barbarized|barbarize
barbecued|barbecue
bared|bare
barrelled|barrel
barricaded|barricade
based|base
bashed|bash
basted|baste
battered|batter
battled|battle
beatified|beatify
beautified|beautify
bedevilled|bedevil
befallen|befall
befitted|befit
befouled|befoul
befriended|befriend
begotten|beget
beggared|beggar
beguiled|beguile
beheaded|behead
beheld|behold
belaboured|belabour
belied|belie
belittled|belittle
belted|belt
bemoaned|bemoan
bequeathed|bequeath
berated|berate
bereaved|bereave
beseeched|beseech
besieged|besiege
besmirched|besmirch
bespoken|bespeak
bested|best
bestirred|bestir
bestowed|bestow
bestrewed|bestrew
bestrode|bestride
betokened|betoken
betrayed|betray
bevelled|bevel
bewailed|bewail
bewildered|bewilder
bewitched|bewitch
biased|bias
bided|bide
biffed|biff
bilked|bilk
billed|bill
billeted|billet
birched|birch
bisected|bisect
blackballed|blackball
blacklisted|blacklist
blackmailed|blackmail
blamed|blame
blanketed|blanket
blasted|blast
blazoned|blazon
blemished|blemish
blessed|bless
blighted|blight
blinded|blind
blindfolded|blindfold
blitzed|blitz
blockaded|blockade
blow-dried|blow-dry
bludgeoned|bludgeon
blue-pencilled|blue-pencil
blunted|blunt
bolstered|bolster
bombed|bomb
bombarded|bombard
boosted|boost
bossed|boss
botched|botch
boycotted|boycott
braced|brace
bracketed|bracket
braided|braid
brainwashed|brainwash
braised|braise
branded|brand
brandished|brandish
braved|brave
breached|breach
bribed|bribe
bricked|brick
bridged|bridge
briefed|brief
broached|broach
brocaded|brocade
bronzed|bronze
brooked|brook
browbeaten|browbeat
brutalized|brutalize
budgeted|budget
buffed|buff
bugged|bug
bulldozed|bulldoze
bunged|bung
bungled|bungle
buoyed|buoy
burdened|burden
burlesqued|burlesque
buried|bury
bused|bus
bussed|bus
busied|busy
butchered|butcher
buttonholed|buttonhole
buttressed|buttress
by-passed|by-pass
bypassed|bypass
cajoled|cajole
calibrated|calibrate
camouflaged|camouflage
caned|cane
cannibalized|cannibalize
canonized|canonize
capped|cap
captivated|captivate
captured|capture
carbonized|carbonize
carded|card
caressed|caress
caricatured|caricature
carpeted|carpet
cased|case
castigated|castigate
castrated|castrate
catalogued|catalogue
catapulted|catapult
categorized|categorize
ceded|cede
cemented|cement
censored|censor
censured|censure
centralized|centralize
chagrined|chagrin
chained|chain
chaired|chair
championed|champion
channelled|channel
chaperoned|chaperon
charmed|charm
charted|chart
chartered|charter
chastened|chasten
chastised|chastise
cheapened|cheapen
checkmated|checkmate
cherished|cherish
chided|chide
chiselled|chisel
chlorinated|chlorinate
christened|christen
chronicled|chronicle
circularized|circularize
circumcised|circumcise
circumnavigated|circumnavigate
circumscribed|circumscribe
circumvented|circumvent
cited|cite
civilized|civilize
clamped|clamp
classified|classify
clawed|claw
cleansed|cleanse
clenched|clench
clipped|clip
cloaked|cloak
clobbered|clobber
cloistered|cloister
cloned|clone
closeted|closet
clothed|clothe
clubbed|club
co-authored|co-author
co-opted|co-opt
co-produced|co-produce
coated|coat
cobbled|cobble
cocked|cock
coddled|coddle
coded|code
codified|codify
coerced|coerce
coined|coin
cold-shouldered|cold-shoulder
collared|collar
collated|collate
collected|collect
collectivized|collectivize
colonized|colonize
colored|color
coloured|colour
combated|combat
combatted|combat
comforted|comfort
commandeered|commandeer
commemorated|commemorate
commended|commend
commercialized|commercialize
compacted|compact
compartmentalized|compartmentalize
compiled|compile
complemented|complement
completed|complete
complicated|complicate
complimented|compliment
composted|compost
compounded|compound
comprehended|comprehend
compressed|compress
comprised|comprise
computerized|computerize
conned|con
concealed|conceal
concerned|concern
conciliated|conciliate
concocted|concoct
conditioned|condition
condoned|condone
configured|configure
confined|confine
confiscated|confiscate
confounded|confound
confronted|confront
confused|confuse
confuted|confute
congratulated|congratulate
conked|conk
connoted|connote
conquered|conquer
conscripted|conscript
consecrated|consecrate
conserved|conserve
consigned|consign
consoled|console
constituted|constitute
constrained|constrain
constricted|constrict
constructed|construct
construed|construe
consumed|consume
consummated|consummate
contacted|contact
contained|contain
contaminated|contaminate
contented|content
contorted|contort
contoured|contour
contradicted|contradict
contravened|contravene
contrived|contrive
controlled|control
conveyed|convey
convoked|convoke
convoyed|convoy
convulsed|convulse
cooped|coop
coordinated|coordinate
copied|copy
copyrighted|copyright
corded|cord
cordoned|cordon
cored|core
corked|cork
cornered|corner
corralled|corral
corrected|correct
corroborated|corroborate
countenanced|countenance
counteracted|counteract
counterbalanced|counterbalance
counterfeited|counterfeit
countermanded|countermand
countersigned|countersign
coupled|couple
courted|court
court-martialed|court-martial
coveted|covet
cradled|cradle
cramped|cramp
craned|crane
crayoned|crayon
creamed|cream
created|create
credited|credit
cremated|cremate
crimped|crimp
crippled|cripple
criticized|criticize
cross-examined|cross-examine
cross-fertilized|cross-fertilize
cross-indexed|cross-index
cross-questioned|cross-question
crossbred|crossbreed
crowned|crown
crucified|crucify
crushed|crush
cubed|cube
cudgeled|cudgel
cuffed|cuff
culled|cull
cultivated|cultivate
cupped|cup
curbed|curb
cured|cure
curried|curry
curtailed|curtail
cushioned|cushion
damaged|damage
damned|damn
dampened|dampen
dandled|dandle
daubed|daub
daunted|daunt
dazed|daze
dazzled|dazzle
de-escalated|de-escalate
de-iced|de-ice
deadened|deaden
deafened|deafen
debarred|debar
debased|debase
debauched|debauch
debilitated|debilitate
debited|debit
debriefed|debrief
debugged|debug
debunked|debunk
decanted|decant
decapitated|decapitate
decarbonized|decarbonize
deceived|deceive
decentralized|decentralize
decertified|decertify
decimalized|decimalize
decimated|decimate
deciphered|decipher
decked|deck
declaimed|declaim
declassified|declassify
decoded|decode
decolonized|decolonize
decompressed|decompress
decontaminated|decontaminate
decorated|decorate
decried|decry
dedicated|dedicate
deducted|deduct
deep-frozen|deep-freeze
defaced|deface
defamed|defame
defeated|defeat
defended|defend
deferred|defer
defiled|defile
defined|define
deflated|deflate
deflowered|deflower
defoliated|defoliate
deforested|deforest
deformed|deform
defrauded|defraud
defrayed|defray
defrocked|defrock
defrosted|defrost
defused|defuse
defied|defy
degraded|degrade
dehumanized|dehumanize
dehydrated|dehydrate
deified|deify
delegated|delegate
deleted|delete
delimited|delimit
delineated|delineate
deluded|delude
demagnetized|demagnetize
demarcated|demarcate
demeaned|demean
demilitarized|demilitarize
demisted|demist
demobilized|demobilize
demolished|demolish
demoralized|demoralize
demoted|demote
denationalized|denationalize
denigrated|denigrate
denominated|denominate
denoted|denote
denounced|denounce
dented|dent
denuded|denude
deodorized|deodorize
depleted|deplete
deplored|deplore
deployed|deploy
depopulated|depopulate
deported|deport
deposed|depose
deposited|deposit
deprecated|deprecate
deprogrammed|deprogram
deranged|derange
derided|deride
desalinated|desalinate
desalinized|desalinize
desecrated|desecrate
desegregated|desegregate
desensitized|desensitize
deserted|desert
desiccated|desiccate
designated|designate
despatched|despatch
despised|despise
despoiled|despoil
destroyed|destroy
detached|detach
detained|detain
detected|detect
deterred|deter
detested|detest
dethroned|dethrone
devaluated|devaluate
devalued|devalue
devastated|devastate
devised|devise
devoted|devote
devoured|devour
diagnosed|diagnose
diced|dice
diddled|diddle
diffracted|diffract
dignified|dignify
diluted|dilute
directed|direct
disabled|disable
disallowed|disallow
disappointed|disappoint
disarranged|disarrange
disassociated|disassociate
disavowed|disavow
disbursed|disburse
discarded|discard
disciplined|discipline
disclaimed|disclaim
discomfited|discomfit
disconcerted|disconcert
disconnected|disconnect
discontented|discontent
discounted|discount
discouraged|discourage
discredited|discredit
disdained|disdain
disembarrassed|disembarrass
disembowelled|disembowel
disenchanted|disenchant
disenfranchised|disenfranchise
disestablished|disestablish
disfavoured|disfavour
disfigured|disfigure
disgorged|disgorge
disgraced|disgrace
disguised|disguise
disheartened|dishearten
dishonoured|dishonour
disillusioned|disillusion
disinfected|disinfect
disinherited|disinherit
disinterred|disinter
dislocated|dislocate
dislodged|dislodge
dismantled|dismantle
dismembered|dismember
dismissed|dismiss
disobeyed|disobey
disoriented|disorient
disorientated|disorientate
disowned|disown
disparaged|disparage
dispatched|dispatch
dispelled|dispel
displaced|displace
displayed|display
displeased|displease
dispossessed|dispossess
disproved|disprove
disqualified|disqualify
disregarded|disregard
disrupted|disrupt
dissected|dissect
disseminated|disseminate
dissociated|dissociate
dissuaded|dissuade
distanced|distance
distilled|distil
distorted|distort
distracted|distract
distributed|distribute
distrusted|distrust
disturbed|disturb
ditched|ditch
diverted|divert
divested|divest
divorced|divorce
divulged|divulge
dizzied|dizzy
doctored|doctor
documented|document
doffed|doff
domesticated|domesticate
dominated|dominate
donated|don
donned|donate
doomed|doom
doped|dope
dotted|dot
double-checked|double-check
double-crossed|double-cross
doused|douse
downed|down
downgraded|downgrade
downloaded|download
dragooned|dragoon
dramatized|dramatize
draped|drape
drenched|drench
drip-dried|drip-dry
drubbed|drub
drugged|drug
dry-cleaned|dry-clean
dumbfounded|dumbfound
dunked|dunk
duped|dupe
duplicated|duplicate
dusted|dust
dwarfed|dwarf
dyed|dye
dynamited|dynamite
earmarked|earmark
earned|earn
eclipsed|eclipse
edified|edify
edited|edit
effaced|efface
effected|effect
elbowed|elbow
electrified|electrify
electrocuted|electrocute
elevated|elevate
elicited|elicit
elided|elide
eliminated|eliminate
elucidated|elucidate
eluded|elude
emancipated|emancipate
emasculated|emasculate
embalmed|embalm
embargoed|embargo
embedded|embed
embellished|embellish
embezzled|embezzle
embittered|embitter
emblazoned|emblazon
embodied|embody
emboldened|embolden
embossed|emboss
embraced|embrace
embroiled|embroil
emended|emend
emitted|emit
empanelled|empanel
empowered|empower
emulated|emulate
emulsified|emulsify
enacted|enact
enamelled|enamel
encased|encase
enchanted|enchant
encircled|encircle
enclosed|enclose
encoded|encode
encompassed|encompass
encountered|encounter
encrypted|encrypt
encumbered|encumber
endangered|endanger
endeared|endear
endorsed|endorse
endowed|endow
enervated|enervate
enfolded|enfold
enforced|enforce
enfranchised|enfranchise
engendered|engender
engineered|engineer
engraved|engrave
engrossed|engross
engulfed|engulf
enhanced|enhance
enjoined|enjoin
enlarged|enlarge
enlightened|enlighten
enlivened|enliven
enmeshed|enmesh
ennobled|ennoble
enraged|enrage
enriched|enrich
ensconced|ensconce
enshrined|enshrine
enshrouded|enshroud
enslaved|enslave
ensnared|ensnare
entangled|entangle
enthralled|enthral
enthralled|enthrall
enthroned|enthrone
entombed|entomb
entrained|entrain
entranced|entrance
entrapped|entrap
entreated|entreat
entrusted|entrust
entwined|entwine
enumerated|enumerate
enveloped|envelop
envisaged|envisage
envied|envy
epitomized|epitomize
equalized|equal
equalled|equalize
equated|equate
equipped|equip
eradicated|eradicate
erased|erase
erected|erect
eschewed|eschew
escorted|escort
espoused|espouse
espied|espy
established|establish
esteemed|esteem
eulogized|eulogize
evaded|evade
evaluated|evaluate
evicted|evict
evinced|evince
eviscerated|eviscerate
evoked|evoke
exacerbated|exacerbate
exalted|exalt
examined|examine
exasperated|exasperate
excavated|excavate
exceeded|exceed
excepted|except
exchanged|exchange
excised|excise
excluded|exclude
excommunicated|excommunicate
excoriated|excoriate
excreted|excrete
exculpated|exculpate
excused|excuse
executed|execute
exemplified|exemplify
exempted|exempt
exerted|exert
exhausted|exhaust
exhibited|exhibit
exhilarated|exhilarate
exhumed|exhume
exiled|exile
exorcized|exorcize
expedited|expedite
expelled|expel
expended|expend
experienced|experience
expiated|expiate
explicated|explicate
exploited|exploit
exported|export
exposed|expose
expressed|express
expropriated|expropriate
expunged|expunge
expurgated|expurgate
extenuated|extenuate
exterminated|exterminate
externalized|externalize
extinguished|extinguish
extirpated|extirpate
extolled|extol
extorted|extort
extracted|extract
extradited|extradite
extricated|extricate
exuded|exude
eyed|eye
fabricated|fabricate
facilitated|facilitate
fagged|fag
faked|fake
falsified|falsify
familiarized|familiarize
fancied|fancy
fascinated|fascinate
fashioned|fashion
fated|fate
fathomed|fathom
fatigued|fatigue
faulted|fault
favoured|favour
feathered|feather
featured|feature
fed|feed
feigned|feign
felled|fell
fenced|fence
ferreted|ferret
fertilized|fertilize
festooned|festoon
feted|fete
fettered|fetter
filleted|fillet
finalized|finalize
financed|finance
fine-tuned|fine-tune
fingered|finger
flagellated|flagellate
flanked|flank
flattered|flatter
flaunted|flaunt
flavoured|flavour
flayed|flay
fleeced|fleece
flexed|flex
flicked|flick
flogged|flog
floodlit|floodlight
floored|floor
flouted|flout
fluffed|fluff
flummoxed|flummox
fluoridated|fluoridate
flurried|flurry
flustered|fluster
foiled|foil
foisted|foist
fomented|foment
fondled|fondle
fooled|fool
force-fed|force-feed
forded|ford
forecasted|forecast
foregone|forego
foreordained|foreordain
foreshadowed|foreshadow
foreshortened|foreshorten
forestalled|forestall
foresworn|foreswear
foretold|foretell
forfeited|forfeit
forged|forge
forgone|forgo
formalized|formalize
formulated|formulate
forsaken|forsake
forsworn|forswear
fortified|fortify
forwarded|forward
fostered|foster
founded|found
framed|frame
franked|frank
freed|free
frequented|frequent
frescoed|fresco
fricasseed|fricassee
frightened|frighten
frisked|frisk
frittered|fritter
frogmarched|frogmarch
frustrated|frustrate
fried|fry
fulfilled|fulfil
fulfilled|fulfill
fumigated|fumigate
funded|fund
funnelled|funnel
furbished|furbish
furnished|furnish
furrowed|furrow
furthered|further
gaged|gage
gainsaid|gainsay
galled|gall
galvanized|galvanize
gaoled|gaol
garbed|garb
garbled|garble
garnered|garner
garnished|garnish
garrisoned|garrison
gashed|gash
gatecrashed|gatecrash
gauged|gauge
generated|generate
gerrymandered|gerrymander
gilded|gild
ginned|gin
girded|gird
gladdened|gladden
glamorized|glamorize
gleaned|glean
glimpsed|glimpse
glorified|glorify
glutted|glut
goaded|goad
gored|gore
gorged|gorge
grabbed|grab
graced|grace
graded|grade
grafted|graft
gratified|gratify
gravelled|gravel
greased|grease
greeted|greet
grilled|grill
gripped|grip
gritted|grit
groined|groin
groomed|groom
grossed|gross
grudged|grudge
guarded|guard
guided|guide
guillotined|guillotine
gummed|gum
gunned|gun
gutted|gut
guzzled|guzzle
gypped|gyp
hallowed|hallow
halted|halt
halved|halve
hampered|hamper
hamstrung|hamstring
handcuffed|handcuff
handicapped|handicap
handled|handle
harangued|harangue
harassed|harass
harbored|harbor
harboured|harbour
harmed|harm
harnessed|harness
harpooned|harpoon
harrowed|harrow
harried|harry
harvested|harvest
hassled|hassle
haunted|haunt
hawked|hawk
hazarded|hazard
hazed|haze
heaped|heap
heartened|hearten
heeded|heed
heralded|herald
highjacked|highjack
highlighted|highlight
hijacked|hijack
hindered|hinder
hit|hit
hoaxed|hoax
hobbled|hobble
hocked|hock
hogged|hog
hollowed|hollow
homogenized|homogenize
honed|hone
honored|honor
honoured|honour
hooded|hood
hoodwinked|hoodwink
horrified|horrify
horsewhipped|horsewhip
hosed|hose
hospitalized|hospitalize
hosted|host
hotfooted|hotfoot
hounded|hound
housed|house
hulled|hull
humbled|humble
humbugged|humbug
humiliated|humiliate
humoured|humour
humped|hump
hunched|hunch
hurled|hurl
husked|husk
hyphenated|hyphenate
hypnotized|hypnotize
idealized|idealize
identified|identify
idolized|idolize
ignored|ignore
ill-treated|ill-treat
illuminated|illuminate
illumined|illumine
illustrated|illustrate
imaged|image
imbibed|imbibe
imbued|imbue
imitated|imitate
immersed|immerse
immobilized|immobilize
immolated|immolate
immortalized|immortalize
immunized|immunize
impacted|impact
impaired|impair
impaled|impale
impanelled|impanel
imparted|impart
impeached|impeach
impeded|impede
imperilled|imperil
impersonated|impersonate
implanted|implant
implemented|implement
implicated|implicate
imported|import
imposed|impose
impounded|impound
impoverished|impoverish
impregnated|impregnate
impressed|impress
imprinted|imprint
imprisoned|imprison
impugned|impugn
imputed|impute
inactivated|inactivate
inaugurated|inaugurate
incapacitated|incapacitate
incarcerated|incarcerate
incensed|incense
incinerated|incinerate
included|include
inconvenienced|inconvenience
incriminated|incriminate
inculcated|inculcate
incurred|incur
indemnified|indemnify
indentured|indenture
indexed|index
indicted|indict
individuated|individuate
indoctrinated|indoctrinate
inducted|induct
infatuated|infatuate
infected|infect
infested|infest
infiltrated|infiltrate
inflamed|inflame
inflated|inflate
inflected|inflect
inflicted|inflict
influenced|influence
infuriated|infuriate
infused|infuse
ingested|ingest
ingratiated|ingratiate
inhabited|inhabit
inherited|inherit
inhibited|inhibit
initialled|initial
initiated|initiate
injected|inject
injured|injure
inked|ink
inoculated|inoculate
inscribed|inscribe
inseminated|inseminate
inserted|insert
inspected|inspect
installed|install
instigated|instigate
instilled|instil
instilled|instill
instituted|institute
institutionalized|institutionalize
insulated|insulate
insulted|insult
insured|insure
integrated|integrate
interred|inter
intercepted|intercept
interchanged|interchange
interdicted|interdict
interested|interest
interjected|interject
interleaved|interleave
internalized|internalize
internationalized|internationalize
interpolated|interpolate
interrogated|interrogate
interspersed|intersperse
interwoven|interweave
intimidated|intimidate
intoned|intone
intoxicated|intoxicate
introduced|introduce
intuited|intuit
inundated|inundate
invaded|invade
invalidated|invalidate
inveigled|inveigle
invented|invent
inverted|invert
invigorated|invigorate
invoked|invoke
irked|irk
irradiated|irradiate
irrigated|irrigate
isolated|isolate
italicized|italicize
itemized|itemize
iterated|iterate
jailed|jail
jarred|jar
jeopardized|jeopardize
jettisoned|jettison
jilted|jilt
jollied|jolly
jugged|jug
juxtaposed|juxtapose
kenned|ken
kidnapped|kidnap
kissed|kiss
kneaded|knead
knifed|knife
knighted|knight
labelled|label
laced|lace
lacerated|lacerate
lacked|lack
lacquered|lacquer
lambasted|lambaste
laminated|laminate
lampooned|lampoon
lanced|lance
landscaped|landscape
lassoed|lasso
lauded|laud
laundered|launder
lavished|lavish
leached|leach
leapfrogged|leapfrog
leased|lease
leavened|leaven
legalized|legalize
legitimatized|legitimatize
levered|lever
leveraged|leverage
levied|levy
libelled|libel
liberalized|liberalize
liberated|liberate
licenced|licence
likened|liken
limited|limit
lionized|lionize
liquidized|liquidize
listed|list
loaned|loan
loathed|loathe
lobbed|lob
localized|localize
lofted|loft
looted|loot
lubricated|lubricate
lugged|lug
lulled|lull
lumped|lump
lured|lure
lynched|lynch
maddened|madden
magnetized|magnetize
magnified|magnify
maimed|maim
maligned|malign
maltreated|maltreat
manned|man
manacled|manacle
mandated|mandate
mangled|mangle
manhandled|manhandle
manicured|manicure
manifested|manifest
manipulated|manipulate
manufactured|manufacture
marred|mar
marketed|market
marooned|maroon
marshalled|marshal
martyred|martyr
mashed|mash
masked|mask
mass-produced|mass-produce
massaged|massage
mastered|master
masterminded|mastermind
masticated|masticate
mauled|maul
maximized|maximize
measured|measure
mechanized|mechanize
medicated|medicate
memorialized|memorialize
memorized|memorize
menaced|menace
merited|merit
mesmerized|mesmerize
microfilmed|microfilm
milked|milk
mimeographed|mimeograph
mimicked|mimic
minced|mince
miniaturized|miniaturize
minimized|minimize
minted|mint
mired|mire
mirrored|mirror
misapplied|misapply
misapprehended|misapprehend
misappropriated|misappropriate
miscast|miscast
misconceived|misconceive
misconstrued|misconstrue
misdated|misdate
misdirected|misdirect
misgoverned|misgovern
misguided|misguide
mishandled|mishandle
misheard|mishear
misinformed|misinform
misinterpreted|misinterpret
mislaid|mislay
misled|mislead
mismanaged|mismanage
misnamed|misname
misplaced|misplace
mispronounced|mispronounce
misquoted|misquote
misread|misread
misrepresented|misrepresent
misspelled|misspell
misspent|misspend
misstated|misstate
mistaken|mistake
mistranslated|mistranslate
mistreated|mistreat
mistrusted|mistrust
misused|misuse
mitigated|mitigate
mobbed|mob
mocked|mock
modeled|model
modified|modify
modulated|modulate
molded|mold
molested|molest
mollified|mollify
mollycoddled|mollycoddle
monitored|monitor
monopolized|monopolize
moored|moor
mortared|mortar
mortgaged|mortgage
mortified|mortify
mothproofed|mothproof
motorized|motorize
muddied|muddy
muffed|muff
muffled|muffle
mugged|mug
mulched|mulch
murdered|murder
mustered|muster
muted|mute
mutilated|mutilate
muzzled|muzzle
mystified|mystify
nabbed|nab
nagged|nag
narrated|narrate
nationalized|nationalize
naturalized|naturalize
needled|needle
negated|negate
netted|net
nettled|nettle
neutered|neuter
neutralized|neutralize
nicked|nick
nicknamed|nickname
normalized|normalize
nourished|nourish
nudged|nudge
nullified|nullify
numbed|numb
numbered|number
nursed|nurse
nurtured|nurture
obfuscated|obfuscate
obligated|obligate
obliterated|obliterate
obscured|obscure
obstructed|obstruct
obtained|obtain
obviated|obviate
occasioned|occasion
occupied|occupy
offended|offend
offset|offset
oiled|oil
okayed|okay
omened|omen
omitted|omit
oppressed|oppress
orchestrated|orchestrate
ordained|ordain
organized|organize
oriented|orient
orientated|orientate
ornamented|ornament
ostracized|ostracize
ousted|oust
outbalanced|outbalance
outbid|outbid
outclassed|outclass
outdistanced|outdistance
outdone|outdo
outfought|outfight
outfitted|outfit
outflanked|outflank
outfoxed|outfox
outgrown|outgrow
outlasted|outlast
outlawed|outlaw
outlined|outline
outlived|outlive
outmanoeuvred|outmanoeuvre
outnumbered|outnumber
outplayed|outplay
outraged|outrage
outranked|outrank
outridden|outride
outrun|outrun
outshone|outshine
outsmarted|outsmart
outstayed|outstay
outvoted|outvote
outweighed|outweigh
outwitted|outwit
overawed|overawe
overbore|overbear
overburdened|overburden
overcooked|overcook
overcome|overcome
overcrowded|overcrowd
overdone|overdo
overemphasized|overemphasize
overestimated|overestimate
overexerted|overexert
overexposed|overexpose
overhauled|overhaul
overheard|overhear
overleaped|overleap
overloaded|overload
overlooked|overlook
overpaid|overpay
overplayed|overplay
overpowered|overpower
overpraised|overpraise
overprinted|overprint
overrated|overrate
overriden|override
overruled|overrule
overrun|overrun
overseen|oversee
overshadowed|overshadow
overshot|overshoot
oversimplified|oversimplify
overstated|overstate
overstayed|overstay
overstepped|overstep
overstocked|overstock
overstrained|overstrain
overtaken|overtake
overtaxed|overtax
overvalued|overvalue
overwhelmed|overwhelm
owned|own
oxygenated|oxygenate
pacified|pacify
packaged|package
padded|pad
padlocked|padlock
paged|page
pained|pain
